function	status	bc_file
engineFunctionDispose	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/functions.bc
extent_alloc_core	NOT_FOUND	-
extent_alloc_retained	NOT_FOUND	-
extent_alloc_wrapper	NOT_FOUND	-
extent_grow_retained	NOT_FOUND	-
freeModuleObject	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/object.bc
free_default	NOT_FOUND	-
free_fastpath	NOT_FOUND	-
free_with_usize	NOT_FOUND	-
genInfoSectionDict	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/server.bc
generate_random_json	NOT_FOUND	-
getInfoField	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/redis-cli.bc
getKeysFreeResult	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/db.bc
getKeysPrepareResult	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/db.bc
getMemoryOverheadData	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/object.bc
getSafeInfoString	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/server.bc
getSdsArrayFromArgv	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/cli_common.bc
hdr_alloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hdr_histogram/hdr_histogram.bc
hi_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/async.bc
hi_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/hiredis.bc
hi_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/net.bc
hi_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/read.bc
hi_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/sds.bc
hi_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/async.bc
hi_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/hiredis.bc
hi_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/read.bc
hi_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/sds.bc
hi_sds_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/sds.bc
hi_sds_realloc	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/hiredis/sds.bc
hnsw_delete_node	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hnsw_free	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hnsw_free_insert_context	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hnsw_free_serialized_node	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hnsw_free_tmp_node	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hnsw_prepare_insert_nolock	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hnsw.bc
hotkeyStatsCreate	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/hotkeys.bc
hpa_alloc_ps	NOT_FOUND	-
idmpEntryCreate	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/t_stream.bc
idmpGetOrCreateProducer	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/t_stream.bc
idmpProducerCreate	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/t_stream.bc
init_by_array	NOT_FOUND	-
init_gen_rand	NOT_FOUND	-
init_test_data	NOT_FOUND	-
je_free	NOT_FOUND	-
je_free_internal	NOT_FOUND	-
je_realloc_internal	NOT_FOUND	-
json_destroy_config	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/deps/lua/src/lua_cjson.bc
keyMetaOnFree	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/keymeta.bc
keyMetaSpecCleanup	FOUND	/home/lxh/Projects/NSPA/workspace/redis-bc/bc/src/keymeta.bc
